episode,shaped_reward,success,steps
1,-10.11000000,0,12
2,-10.25000000,0,26
3,-10.24000000,0,25
4,-10.13000000,0,14
5,-10.38000000,0,39
6,-10.66000000,0,67
7,-10.20000000,0,21
8,-10.38000000,0,39
9,-10.41000000,0,42
10,-10.36000000,0,37
11,-10.04000000,0,5
12,-10.25000000,0,26
13,-10.17000000,0,18
14,-10.34000000,0,35
15,-10.20000000,0,21
16,-10.07000000,0,8
17,-10.47000000,0,48
18,-10.82000000,0,83
19,-10.61000000,0,62
20,-10.16000000,0,17
21,-10.49000000,0,50
22,-10.99000000,0,100
23,-10.08000000,0,9
24,-10.21000000,0,22
25,-10.26000000,0,27
26,-10.17000000,0,18
27,-10.15000000,0,16
28,-10.45000000,0,46
29,-10.21000000,0,22
30,-10.16000000,0,17
31,-10.50000000,0,51
32,-10.30000000,0,31
33,-11.00000000,0,101
34,-10.09000000,0,10
35,-11.23000000,0,124
36,-10.34000000,0,35
37,-10.09000000,0,10
38,-10.82000000,0,83
39,-10.20000000,0,21
40,-10.76000000,0,77
41,-10.61000000,0,62
42,-10.32000000,0,33
43,-10.10000000,0,11
44,-10.05000000,0,6
45,-10.20000000,0,21
46,-11.04000000,0,105
47,-10.18000000,0,19
48,-10.14000000,0,15
49,-10.73000000,0,74
50,-10.08000000,0,9
51,-10.28000000,0,29
52,-10.25000000,0,26
53,-10.28000000,0,29
54,-10.24000000,0,25
55,-10.29000000,0,30
56,-10.44000000,0,45
57,-10.05000000,0,6
58,-10.08000000,0,9
59,-10.27000000,0,28
60,-10.55000000,0,56
61,-10.40000000,0,41
62,-10.29000000,0,30
63,-10.09000000,0,10
64,-10.46000000,0,47
65,-10.13000000,0,14
66,-10.60000000,0,61
67,-10.14000000,0,15
68,-10.04000000,0,5
69,-10.28000000,0,29
70,-10.07000000,0,8
71,-10.09000000,0,10
72,-10.12000000,0,13
73,-10.25000000,0,26
74,-10.46000000,0,47
75,-10.87000000,0,88
76,-10.13000000,0,14
77,-10.26000000,0,27
78,-10.48000000,0,49
79,-10.33000000,0,34
80,-10.15000000,0,16
81,-10.16000000,0,17
82,-10.12000000,0,13
83,-10.41000000,0,42
84,-10.15000000,0,16
85,-10.69000000,0,70
86,-10.21000000,0,22
87,-10.36000000,0,37
88,-10.27000000,0,28
89,-11.05000000,0,106
90,-10.19000000,0,20
91,-10.17000000,0,18
92,-10.30000000,0,31
93,-10.36000000,0,37
94,-10.29000000,0,30
95,-10.07000000,0,8
96,-10.19000000,0,20
97,-10.25000000,0,26
98,-10.20000000,0,21
99,-10.12000000,0,13
100,-10.15000000,0,16
101,-10.35000000,0,36
102,-11.13000000,0,114
103,-10.08000000,0,9
104,-10.23000000,0,24
105,-10.23000000,0,24
106,-10.05000000,0,6
107,-10.13000000,0,14
108,-10.75000000,0,76
109,-10.36000000,0,37
110,-10.06000000,0,7
111,-10.13000000,0,14
112,-10.20000000,0,21
113,-10.32000000,0,33
114,-10.56000000,0,57
115,-10.18000000,0,19
116,-10.17000000,0,18
117,-10.06000000,0,7
118,-10.15000000,0,16
119,-10.32000000,0,33
120,-10.17000000,0,18
121,-10.10000000,0,11
122,-11.32000000,0,133
123,-10.03000000,0,4
124,-10.09000000,0,10
125,-10.25000000,0,26
126,-10.13000000,0,14
127,-10.81000000,0,82
128,-10.31000000,0,32
129,-10.14000000,0,15
130,-10.53000000,0,54
